Name,Account,Time,Comments,Retweets,Text
Arun Bharti,@BhartiAnalyst,"Apr 3, 2020",1,,How much #Grofers #AmazonIndia #Flipkart #McDonald #KFC #Subway #Barista #Starbuck #dominospizza #Pizzahut alikes have contributed to #PMCaresFunds ? Just asking. Because 90% of my payments goes to these people !
naashonomics,@naashonomics,"Feb 21, 2020",,,"#flipkart #phonepe 
Flipkart and digital-payments unit PhonePe, as e-commerce accounted for 12% of its international sales in the fourth quarter that ended on January 31. $WMT"
Nitin Sethi,@nitinsethi80,"Feb 20, 2020",,,"Walmart bets on PhonePe cash withdrawal facility 
https://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/walmart-bets-on-phonepe-cash-withdrawal-facility/74218576…
#Walmart #PhonePe #Cash #CashWithdrawal #Ecommerce #Flipkart #Merchants #Customers #Digital #Payments"
Tech N Tech,@techntechonly,"Jan 31, 2020",1,,"#flipkartpaylater now enabled in #phonepe #payments 

Therefore, here after you can make recharges, other phonpe transaction using #flipkart #paylater payment mode.

Asusual Flipkart Pay later terms and condition will be applied..."
Tech N Tech Tamil,@TechntechTamil,"Jan 31, 2020",,,"#flipkartpaylater ??????? #phonepe #payments ??? ?????????????

 ????, #flipkart #paylater ????? ???????????? ??????????? ????????, ??? ??????? ?????????????? ??????? use panlam."
Tech N Tech,@techntechonly,"Jan 31, 2020",,,"#flipkartpaylater now enabled in #phonepe #payments 

Therefore, here after you can make recharges, other phonpe transaction using #flipkart #paylater payment mode.

Asusual Flipkart Pay later terms and condition… https://instagram.com/p/B7_PWIvnjJ5/?igshid=1cqb9s4klma5m…"
Biggdeals,@BiggDeals4U,"Jan 29, 2020",,1,"Big Update : #Flipkart Pay Later Option Available Now In #PhonePe

You Can Do Recharge / Bill Payments Using Flipkart Pay Later Balance

RT and Spread "
Nitin Sethi,@nitinsethi80,"Jan 28, 2020",,,"PhonePe rolls out Flipkart's Pay Later facility on its platform
https://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/phonepe-rolls-out-flipkarts-pay-later-facility-on-its-platform/73697288…
#PhonePe #Flipkart #PayLater #Platform #Consumers #Purchase #Payments #Digital"
apna Desh apna Ecom,@LaserMusic4u4,"Nov 8, 2019",,2,"not just #Flipkart 
#AmazonIndia  too is doing the same thing
Does anyone have access to 
@amazonIN
 accounts and the payments made between the related entities cloudtail & appario?"
kaasuu.com,@kaasuucom,"Nov 6, 2019",,2,"-> Phonepe
-> Get Rs.50 Off on Electricity Bill Payments of Rs.500 Via ICICI Credit Card

?->Cashback 50

http://kaasuu.com/deals/get-rs-50-off-on-electricity-bill-payments-of-rs-500-via-icici-credit-card/…

#1YearOfBBSarkar
#KamalHaasan
#DarbarThiruvizha"
Marketing Maverick,@MarketingMvrick,"Nov 4, 2019",,1,"Flipkart Group Lost More Than Rs 42.12 Crore Per Day In 2018-19

#FlipkartGroup operates a number of entities like e-commerce portal Flipkart, #Myntra and #Jabong, digital payments through #PhonePe, a wholesale unit & logistic service #EKart

#Flipkart #MarketingMaverick"
Amrinder dhingra,@Amrinder73,"Nov 3, 2019",,,"Replying to 
@flipkartsupport"
Mudit Gera,@GeraMudit,"Oct 30, 2019",,,"AMAZON INVESTS RS 450 CRORE INTO ITS RETAIL, FOOD AND PAYMENTS UNITS IN INDIA

 #Amazon #Flipkart #FUTURERETAIL #PrimeVideo #REGISTRAROFCOMPANIES #techblog #technews #technoingg #technology https://technoingg.com/amazon-invests-rs-450-crore-into-its-retail-food-and-payments-units-in-india/…"
FinancialXpress,@FinancialXpress,"Oct 30, 2019",,5,#PhonePe net loss 8 times its total #income; here’s how much #Flipkart’s #payments unit spent last year
kAushik tHallam,@kaushikthallam,"Oct 27, 2019",,,"Replying to 
@ramkiraju976
 and 
@GooglePayIndia"
Gopal Shiyani,@maheta_gopal,"Oct 25, 2019",3,,"#Flipkart #Flipkartaffiliate #FlipkartFraud
I've been trying to contact the Affiliate team since 1 month with a bunch of emails. A query related with payments. I'm eligible to get gift voucher from Flipkart Affiliate, but I think you're in off mood to release my payment."
Marketing Stories,@Marketing_Stry,"Oct 25, 2019",1,1,"Did You Know?
Digital Payments App PhonePe is owned by Flipkart.
#DidYouKnow #flipkart #PhonePe #digital #marketing #MarketingStories
#FridayThoughts #FridayMotivation #FridayFeeling #FridayMorning"
ET Brand Equity,@ETBrandEquity,"Oct 22, 2019",,,"While #AmazonPay is the online payments processing service used by the US e-tailer that enables its users to pay with their Amazon accounts on even external websites, Walmart-backed #Flipkart operates #PhonePe"
Abhishek Singh,@i_abhisheks,"Oct 16, 2019",,,"Replying to 
@flipkartsupport"
tejas darji,@tejasdarji127,"Oct 15, 2019",2,3,"Flipkart is making fool of people by saying ""Safe and Secure Payments.Easy returns.100% Authentic products.""
I purchased #MotoE6s from #flipkart when i tried to return as its missing basic features like call recording, HD Voice calling. They said there is no return policy.
PFA..."
Tarak H. Rindani,@TarakRindani,"Sep 19, 2019",,1,"Trying to reach the new-to-credit audience across tier-2 cities, Walmart-owned, #India -based #eCommerce major #Flipkart has ramped up its #fintech #payments offerings ahead of the festive season."
Nikstrade,@Nikstrade,"Sep 18, 2019",,2,"The National Payments Corporation of India (NPCI) has given the nod to Walmart-backed PhonePe to allow its customers to make their bids for (IPOs) through the UPI platform. #Flipkart , This will make PhonePe the first non-bank to facilitate such transactions,"
Sagar Gawde,@SagarGO4,"Sep 17, 2019",1,,"@jagograhakjago
 need your help. 
@Flipkart
 
@flipkartsupport
 
@FlipkartStories
 #Flipkart #flipkartoffers is harassing me from last few months. They block my account b4 the due date for payments, more over #flipkart is forcing me to use the defective p"
Dem 101,@duxFortisIndia,"Sep 11, 2019",,,"Replying to 
@poojabeditweets"
Nitin Sethi,@nitinsethi80,"Sep 6, 2019",,,"Morgan Stanley values PhonePe at $7 Bn https://entrackr.com/2019/09/morgan-stanley-phonepe-valuation-7-bn/…
#PhonePe #Payments #Wallet #Digital #Valuation #Flipkart #MorganStanley"
Akash Pandey,@tweetwithAP,"Sep 5, 2019",2,,"Boycott #Flipkart  they are cheating and using customer payment by cheating online payments.
Flipkart is Cheapest App Ever with fake listings and offers.
I am Flipkart Plus user and see what they are serving.

@Flipkart
 

@ConsumerReports
 
Use Amazon Best App Ever


@GoI_MeitY"
Mahadev Barman,@mdev_barman,"Aug 9, 2019",,,"Flipkart is Not Refunding Payment
#Flipkart #payments 
@Flipkart
 
@flipkartsupport"
racha ghamlouch,@__racha,"Jul 31, 2019",,,"India's #Flipkart has invested ~$200M into its digital #payments subsidiary PhonePe since March, as it reportedly plans to spin it off at a ~$10B valuation https://dealstreetasia.com/stories/flipkart-phonepe-147201/… #India #emergingmarket #ecommerce #fintech"
Arth Tiwari,@ArthTiwari98,"Jul 30, 2019",,,"RT YourStoryCo: #Flipkart-owned digital payments company #PhonePe has received a fund infusion of about Rs 698 crore from its parent firm. 

PhonePe_ _sameernigam rahulchari9 

https://yourstory.com/2019/07/flipkart-phonepe-receives-funding-parent…"
Nitin Sethi,@nitinsethi80,"Jul 10, 2019",,1,"Walmart got a $10 billion surprise after buying Flipkart 
https://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/walmart-got-a-10-billion-surprise-after-buying-flipkart/70155439…
#Walmart #Flipkart #PhonePe #Funding #Valuation #Ecommerce #Online #DIgital #Business #Acquisition #Payments #Transactions"
Swarnava Adhikary,@swarnavaa,"Jul 10, 2019",,,"#Walmart has got a pleasant surprise due to #PhonePe, #Flipkart's payments arm...UPI- based #digital #payments is an area of immense promise in India Walmart is probably realizing that
 https://bloomberg.com/news/articles/2019-07-09/walmart-payment-unit-is-raising-funds-at-up-to-10-billion-value… via 
@technology"
BullsEye - Stocks & Crypto,@bullseye_app,"Jul 10, 2019",,,"When #Walmart paid $16b for #India e-commerce pioneer #Flipkart Online Services Pvt. the US retail giant got a digital #payments subsidiary as part of the deal. Now the business is emerging as one of the country’s top #startups.

#WMT #NYSE #investing  https://bloomberg.com/news/articles/2019-07-09/walmart-payment-unit-is-raising-funds-at-up-to-10-billion-value…"
Neha Uniyal,@NehaUniyal,"Jul 5, 2019",1,,"@Flipkart
 
@flipkartsupport
 For unresolved issue IN1906291707432477071, #flipkart asked me to pay twice for already paid order. Sharing screenshots of both the payments. Your team promised resolution 2 weeks back but has been incompetent in resolving an"
Manish Dayal Chawla,@ChawlaDayal,"Jul 3, 2019",,,"For this concern they are asking to contact seller support
They think that we don't no the procedure
:. I put on hold 400 orders of flipkart which i'm not going to process till the time i get payments
#flipkart Fraud
#walmart Fraud

@_DigitalIndia
 Support frauds in India"
Marketing Maverick,@MarketingMvrick,"Jul 1, 2019",,,"#Flipkart acquires #UPI-based payments Start-Up #PhonePe in April 2016.

#DidYouKnow #Digital #StartUp #MarketingMaverick"
NobitasWorld,@NobitasWorld,"Jun 29, 2019",,,"Get  ?35  Cashback on making 7 payments using Paytm UPI on PaisaWapas http://bit.ly/2VvZDhX

#PaisaWapas #paytm #PaytmUPI #Amazon #Flipkart"
NobitasWorld,@NobitasWorld,"Jun 27, 2019",3,,"Flat  ?25  Cashback on making 5 payments using #Paytm UPI on #Woohoo http://bit.ly/2EUrL7t

#PaytmUPI #PaytmPaymentsBank #Amazon #Flipkart"
Nitin Sethi,@nitinsethi80,"Apr 8, 2019",,,"Flipkart is ready with the tech stack to start lending
https://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/flipkart-is-ready-with-the-tech-stack-to-start-lending/68770674…
#Flipkart #Tech #Lending #Unicorn #Payments #Platform #Ecommerce"
ZestMoney,@ZestMoney,"Apr 3, 2019",1,2,"Retail therapy is the quickest fix to fight away those midweek blues.
With ZestMoney now live at 
@Flipkart
 checkout, payments just got quicker and easier! So go on, take that break from work - we promise we won't tell. #OneStepShop #ShopTillYouDrop #Flipkart #Partnership"
Pay2Ghar,@GharPay2,"Apr 2, 2019",,,"Pay your rent hassle-free on Pay2Ghar,
And get amazing Cashback offers on all commercial properties & Homes Pay2Ghar.
Download now: http://bit.ly/2QwyEQa
#NewFordFigo #KXIPvsDC #Kerala #cashcard #payments #rentalproperty #cashback #Hyderabad #Amazon #Flipkart #creditcard #money"
Next Tech What,@NextTechWhat,"Mar 27, 2019",,,#Flipkart Approves Separation Plan For Payments Unit #PhonePe https://goo.gl/fb/WB1uhF #news #binnybansal #googlepay
Nitin Sethi,@nitinsethi80,"Mar 22, 2019",,1,"PhonePe unveils Rs 500 crore marketing push
https://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/phonepe-unveils-rs-500-crore-marketing-push-its-largest-yet/68518666…
#PhonePe #Marketing #Broadcast #IPL #IndianPremierLeague #AmirKhan #Actor #BrandAmbassdor #Flipkart #Ecommerce #Payments #Cricket #Bollywood #Brand #Payments #Digital #Investment #Paytm"
NobitasWorld,@NobitasWorld,"Mar 12, 2019",,,"Get  ?25  Cashback on making 5 payments using Paytm UPI on Zingoy http://bit.ly/2NM9sWo

#Zingoy #Amazon #Flipkart #BigBazaar #Paytm #PaytmUPI #paytmpaymentsbank"
NobitasWorld,@NobitasWorld,"Mar 11, 2019",,,"Flat  ?25  Cashback on making 5 payments using Paytm UPI on Woohoo http://bit.ly/2EUrL7t

#Paytm #UPI #PaytmUPI #Woohoo #Amazon #Flipkart"
Nitin Sethi,@nitinsethi80,"Mar 5, 2019",,,"Paytm launches subscription service to take on Amazon, Flipkart 
https://retail.economictimes.indiatimes.com/news/e-commerce/e-tailing/paytm-launches-subscription-service-to-take-on-amazon-flipkart/68264792…
#Paytm #Launches #Subscription #Service #Amazon #Flipkart #PaytmFirst #Incentives #Consumers #Ecosystem #Products #Payments #Movies #Travel #Zomato #Gaana #Uber #AntFinancial #Softbank"
Hanish Bhatia,@Hanish2501,"Jan 2, 2019",,4,"A must read on 
@reliancejio
 4C strategy - a quadruple play of Connectivity, Carriage, Content and Commerce. #RelianceJio #Amazon #Flipkart #Payments #Wallets #Content #OTT"
Biggdeals,@BiggDeals4U,"Jan 1, 2019",,1,"#Flipkart App : Get Rs.25 off on Rs.26 or more on First Mobile Recharge 

Download: http://affiliate.flipkart.com/install-app?affid=venkat110…

Download or Open Flipkart app 
Goto Menu > Recharge (offer valid only on credit and debit card payments)"
Kumar Navnit Sinha,@nav2jan,"Dec 22, 2018",,,"Replying to 
@Divya__Khanna
 and 
@Dainik_Bhaskar_"
YourStory,@YourStoryCo,"Dec 17, 2018",,1,"While 
@FreeCharge
 was able to narrow its loss by 77 percent, rivals like #Flipkart-owned digital payments platform #PhonePe and #Paytm have witnessed their losses increase. 

https://yourstory.com/2018/12/freecharge-and-the-free-fall-of-its-loss-in-fy18/…"
Economic Times,@EconomicTimes,"Dec 5, 2018",2,4,"#Walmart has reportedly paid over Rs 7,439 crore as taxes to the government on payments made by it to major shareholders of #Flipkart."
moneycontrol,@moneycontrolcom,"Dec 4, 2018",,1,"The 
@IncomeTaxIndia
 Department is examining the taxation issues with regard to payments made by 
@Walmart
 to various shareholders of 
@Flipkart
 following the acquisition of the #ecommerce firm: Reports

#Taxation #Flipkart #Walmart"
Firstpost,@firstpost,"Dec 4, 2018",,2,"The #IncomeTax Department is examining the #taxation issues with regard to payments made by #Walmart Inc to various shareholders of #Flipkart following the acquisition of the #ecommerce firm, a senior #financeministry official said on Tuesday"
woohoogifting,@woohoogifting,"Nov 27, 2018",,,"The best offer for unlimited #gifting. #Gift an E-Gift Card from Woohoo and get a complimentary Woohoo E-Gift Card redeemable on BookMyShow. Valid only on payments using Google Pay. #giftcards #flipkart #pepperfry #bigbasket #Novemberfilmymela. 
Gift Now - https://bit.ly/2r5xHEi"
Haqdar Menseekjustice,@menseekjustice,"Nov 23, 2018",,,"Relationships in India ends in blackmail and payments for men.#Binnybansal thinks filing a police complaint will help him get even Has no clue how anti-male the courts are.Extortion & career derailment by a woman who had consensual relationship.
http://ecoti.in/CD_yKZ78 #Flipkart"
Biggdeals,@BiggDeals4U,"Oct 14, 2018",,,"#Philips 11000mah #powerbank @ 699 on #Flipkart 

Link : http://fkrt.it/PsRwJLuuuN

+10% Cashback* on payments through #PhonePe"
RAVI,@ravisingh22mrt,"Oct 13, 2018",,,"Used this for shop at #Flipkart inviting you to use Google Pay, a simple and secure payments app by Google. Here’s my code (BF8L7)- just enter it before your first transaction. If you send your first payment, you will earn a reward! https://g.co/payinvite/BF8L7"
Igor Nestorovic,@inestorovic,"Oct 12, 2018",,,".
@Amazon
 plans to take on 
@Paytm
 in payments with QR Code pilot https://factordaily.com/amazon-qr-code-india/… via 
@factordaily
 #Amazon #ecommerce #Flipkart #paytm #qrcode #mobilepayments"
Jitendra Singh,@jsrjitu,"Oct 11, 2018",,,"Dear 
@GSTN_IT
 
@gstindia
 The  #GstnChallan is still a mystery for tax payers. Once paid it shows initiated. And payment is lying as it is which can't be utilised unless it shows in cash balance. Work on it. #Amazon, #Flipkart are simple example of secured payments."
Jitendra Singh,@jsrjitu,"Oct 11, 2018",,,"Dear 
@GSTN_IT
 
@gstindia
 The #GstnChallans is still a mystery for taxpayers. Once paid it shows initiated. And payment is lying as it is which can't be utilised unless it shows in cash balance. Work on it. #Amazon, #Flipkart are simple example of secured payments."
Suresh Deshmukh,@DESHMUKH036_,"Oct 10, 2018",,,"???? ??????? ???? ?? 80% ???????????
#Flipkartbigbilliondays #flipkart #flipkartoffers #FlipkartBigBillionDaySale #FlipkartBigBillionDay #Offers #offerslootforyou #discount #discounts #deals #payment #payments 

@flipkart"
NTV Breaking News,@NTVJustIn,"Oct 10, 2018",,,"???? ??????? ???? ?? 80% ???????????
#Flipkartbigbilliondays #flipkart #flipkartoffers #FlipkartBigBillionDaySale #FlipkartBigBillionDay #Offers #offerslootforyou #discount #discounts #deals #payment #payments 
http://ntvtelugu.com/post/flipkarts-big-billion-days-launches-80-discounts-festive-deals…"
FlashSaleTricks,@FlashSaleTricks,"Oct 10, 2018",,,#TheBigBillionDays sale on #Flipkart is now live! Get additional 10% Cashback on payments via #PhonePe! http://fkrt.it/4Ga3hnuuuN
Peerzada Abrar,@PeerzadaAbrar,"Oct 4, 2018",1,1,"#Amazon invests ? 590 crore in its digital payments arm Amazon Pay (India) Private Limited to tap the booming digital payments market and take on rivals such as #Flipkart’s #PhonePe, #Paytm and Google’s mobile payment service #Google Pay [Tez]."
Rodney Gollo,@gollrrg,"Oct 4, 2018",,,"Led by the likes of ecommerce group #Flipkart & payments company #Paytm, #India sees inbound M&A investment of $40.6bn in first 9 months of 2018 vs #China’s $41.6bn. Both countries last attracted similar foreign M&A flows in 2008"
Tanvi Negi,@tanvinegi,"Sep 28, 2018",,3,"Apps are our lives! (pt 2)

#Whatsapp, #Chrome, #Youtube are used heavily. Shopping is dominated by #Amazon, #Flipkart & #PayTMMall. 

#Videostreaming tops in reach followed by #Payments, #Music & #Shopping. 

#MMAF2018 #appmarketing #mcommerce 
@RevX_Platform"
Anmol Gogia,@Anmolgogia,"Aug 26, 2018",,,"Weekly Tech In-short
#news #tech #technology #Tesla #Facebook #ios #apple #Twitter #Google #AI #ML #Smartphone #5G #govt #CEO #Xiaomi #IT #HCL #payments #Hyundai #Nikon #sony #Amazon #Kerala #Youtube #ads #Instagram #BSNL #Flipkart https://anmolgogia.wordpress.com/2018/08/26/weekly-tech-in-short/…"
Amar Thakur,@amarthakur,"Aug 11, 2018",,,"#Flipkart has infused $65.8 million into its payment subsidiary #PhonePe. In total, 
@Flipkart
 has invested $184 million and aims at a total of $500 million. 
@PhonePe_
 has been working to master both the offline and online payments space."
Venture Gurukool,@venturegurukool,"Aug 10, 2018",,,"PhonePe is expanding online&offline, claimed top spot with 100 Mn payments&40% market share.#fintech #flipkart #phonepe #digitalpayments #paymentsapp #vcnews #investments Follow us for update and posts to boost your entrepreneurial gyaan! 
@venturegurukool
 
https://inc42.com/buzz/phonepe-receives-65-8-mn-from-parent-company-flipkart/?utm_source=Inc42+Main&utm_campaign=evening_newsletter_9_aug_&utm_medium=email…"
newskart,@Newskart,"Aug 9, 2018",,,"Flipkart Supermart Started From Bengaluru; Infused US$66Mn In Digital Payments Platform PhonePe-http://newskart.com/flipkart-supermart-started-bengaluru-infused-us66mn-digital-payments-platform-phonepe/…
#Flipkart #FlipkartSupermart #Bengaluru #DigitalPayments #PhonePe #India"
DealStreetAsia,@DealStreetAsia,"Aug 9, 2018",,,"India: #Flipkart injects $66m in payments arm 
@PhonePe_
 to take on rival #Paytm  http://bit.ly/2vP3bAI"
Nitin Sethi,@nitinsethi80,"Aug 9, 2018",,,"PhonePe gets Rs 451cr from S’pore parent
https://retail.economictimes.indiatimes.com/news/industry/phonepe-gets-rs-451cr-from-spore-parent/65331505…
#PhonePe #SingaporeParent #Singapore #Flipkart #Payments #Investment #Funding #Online #Offline #Transactions #Market #UPI #Capital #Platform"
Onioncryindia,@Onioncryindia,"Aug 2, 2018",,,Celebrate with Great discounts on Cashless Payments | Get 10% Off on all credit and debit cards on #Flipkart http://bit.ly/2LNibtt
FlashSaleTricks,@FlashSaleTricks,"Aug 2, 2018",,,Celebrate with Great discounts on Cashless Payments | Get 10% Off on all credit and debit cards on #Flipkart http://bit.ly/2LNibtt
Shipra Arora,@shipra5978,"Jul 28, 2018",,,"Max Vision Solutions Sell your products and accept payments from buying customers!!
https://lnkd.in/f9a6aaM
#ecommerce #store #mvs #flipkart #amazon #ebay https://lnkd.in/f22xVS4"
siva kumar,@offer_bricks,"Jul 24, 2018",1,1,"My id is - offerbricks
And I uploaded documents 30 days back and still my account is not approved and there is approved payments of 5775 rs
Call me 7981538311
And I have raised complaint many times
#Flipkart 

@_sachinbansal
 

@flipkartsupport
 
#Walmart 
#affiliatemarketing 
#loot"
Onioncryindia,@Onioncryindia,"Jun 23, 2018",,,Buy Nivia Storm Football at ?254(MRP ?550) | 15% Cashback* on payments through PhonePe on #Flipkart http://bit.ly/2yKzyVZ
Abhilash Annadurai,@abhilash_171,"Jun 15, 2018",,,#Amazon to pilot contactless #payments in India soon with #ToneTag. https://bloombergquint.com/technology/2018/06/14/amazon-backs-startup-to-replace-cash-with-contactless-payments… #cashless #WhatsApp #UPI #Google #tez #Truecaller #PhonePe #Flipkart #marketing #strategy #Paytm #SoftBank #digitalmarketing #digitaltransformation #ecommerce #startup #innovation
Budget 2021 #Budget2021 ,@Budget2021,"Jun 15, 2018",,,"#Flipkart -owned #digitalpayments firm #PhonePe has tied up with homegrown cab aggregator Ola, where users can book a cab or an auto using a micro-app built on its payments platform. https://goo.gl/nj3E5S"
Suparna Banerjee,@tweet2suparna,"Jun 4, 2018",1,,#Flipkart can't trust you guys anymore with payment. You guys don't have a good after sales support for payments.. 
Klaimy,@klaimyindia,"Jun 2, 2018",,,"#Flipkart Introducing Upto 10 years durability-certified furniture, Shop & Get Upto 75% Discount on #Furniture. Extra 10% OFF on #HDFC Bank Payments. Applicable on #Beds #Wardrobes #TVUnits #Canites #Sofas & More.
#flipkart #coupons at #klaimy
Click Here: https://bit.ly/2rU3VSK"
Fanky,@ImFanky,"Jun 1, 2018",,,RT bitcoinagile: Flipkarts digital payments arm PhonePe crosses 100-million user mark #Flipkart #digitalpayments #PhonePe https://business-standard.com/article/companies/flipkart-s-digital-payments-arm-phonepe-crosses-100-mn-user-mark-118060100035_1.html…
BitcoinAgile,@bitcoinagile,"Jun 1, 2018",,,Flipkarts digital payments arm PhonePe crosses 100-million user mark #Flipkart #digitalpayments #PhonePe https://business-standard.com/article/companies/flipkart-s-digital-payments-arm-phonepe-crosses-100-mn-user-mark-118060100035_1.html…
Next Tech What,@NextTechWhat,"May 30, 2018",,,#Flipkart Sellers Complain Of Pending Payments; #CAIT Determined To Stop #Walmart Deal!
rajnish357,@Rajnish357,"May 30, 2018",,,#Flipkart Sellers Complain Of Pending Payments; #CAIT Determined To Stop #Walmart Deal!
Trak.in,@trakin,"May 30, 2018",,1,"Flipkart Sellers Complain Of Pending Payments; CAIT Determined To Stop Walmart Deal!
http://trak.in/tags/business/2018/05/30/flipkart-sellers-complain-of-pending-payments/…
#Flipkart #flipkartwalmartdeal"
Business Today,@business_today,"May 7, 2018",,,#Instagram has launched payments option within their application; #WhatsApp expected to get advertisements after departure of #JanKoum and more tech news with Danny D'Cruze. #Facebook #Flipkart #BigShoppingDays #MicrosoftBuild http://ow.ly/qE7530jS1r1
Patti Hewitt,@PaymentGal,"May 3, 2018",1,,"Amazon ups ante against Walmart's bid for #Flipkart, because this region really matters #payments"
On9deals,@on9deals,"Apr 28, 2018",,,"#SALE
#Flipkart - Fashion #Premier #League Sale + 15% #Cashback On Payments Through PhonePe
http://on9deals.com/flipkart-fashion-premier-league-sale-Plus-15-Percent-cashback-on-payments-through-phonepe_3925…"
Apercus Tosh,@ApercusTosh,"Apr 22, 2018",,,#Digitaldemand #ecomm #payments robust open markets #India & #Indonesia  investments by $BABA $TCEHY $AMZN $SFTBF dominate local start-ups notable decline #Flipkart #Snapdeal https://twitter.com/spectatorindex/status/987730181807722496…
Onioncryindia,@Onioncryindia,"Apr 11, 2018",,,"Buy Google Chromecast 2 Media Streaming Device at ?3,399 | 15% Cashback* on payments through PhonePe #Flipkart http://bit.ly/2IJHc2G"
FlashSaleTricks,@FlashSaleTricks,"Apr 11, 2018",,,"Buy Google Chromecast 2 Media Streaming Device at ?3,399 | 15% Cashback* on payments through PhonePe #Flipkart http://bit.ly/2IJHc2G"
FlashSaleTricks,@FlashSaleTricks,"Apr 9, 2018",,,Buy Flipkart SmartBuy Wireless Keyboard & Mouse Combo at ?849 + 15% Cashback* on payments through PhonePe #Flipkart  http://bit.ly/2JxkqfW
FlashSaleTricks,@FlashSaleTricks,"Apr 2, 2018",,,"Buy Mi Band - HRX Edition at ?1,199 | 15% Cashback* on payments through PhonePe #Flipkart http://bit.ly/2GuBZiw"
Onioncryindia,@Onioncryindia,"Apr 2, 2018",,,"Buy Mi Band - HRX Edition at ?1,199 | 15% Cashback* on payments through PhonePe #Flipkart http://bit.ly/2GuBZiw"
unemployed  lmtiyazshaik,@imtiyazshaik900,"Mar 23, 2018",,,"@manukumarjain
 I request u to make new products launches as #Amazon exclusive than #Flipkart 
Flipkart doesn't have capacity to meet customers demand and needs it's servers hav no capacity to take payments from customers"
Lewis Burks,@SydneyFinTech,"Mar 16, 2018",,,#Mastercard partners with #Flipkart for #secure #onlinepayments. #ecommerce #retail #innovation #security #payments
Nitin Sethi,@nitinsethi80,"Mar 15, 2018",,,"Following In Parent Flipkart’s Footsteps, Fashion Marketplace Myntra Now Offers EMI Options https://inc42.com/buzz/following-parent-flipkarts-footsteps-fashion-marketplace-myntra-now-offers-emi-options/…
#Flipkart #Footsteps #Fashion #Marketplace #Myntra #Offers #EMI #Payments #Platform #E-com #E-commerce #e-tailer #Banks #Customers #Retailers"
Rajeev Kumar Sharma ?,@rajeev_k_sharma,"Mar 13, 2018",3,2,"@XiaomiIndia
 
@Flipkart
 #MiTV4  #Flipkart #Xiaomi  #SwitchToSmart i was on payments page, entered right cvv but still got this message while purchasing MiTV4 in todays flash sale. Tried in all previous flash sales but same result always. STOP sales till"
FinancialXpress,@FinancialXpress,"Mar 8, 2018",,,"Why #Flipkart's payments platform #PhonePe is lashing out at rival #Paytm
http://financialexpress.com/industry/why-flipkarts-payments-platform-phonepe-is-lashing-out-at-rival-paytm/1092078/…"
Shrikant Kumar,@ishrikantk,"Mar 1, 2018",,,"Replying to 
@ishrikantk
 and 
@ZestMoney"
GlobalGiants.Com,@GlobalGiants,"Feb 28, 2018",,1,"#Mastercard joins hands with #Flipkart; makes payments secure for online buyers. 
http://globalgiants.com/archives/2018/02/mastercard_join.html…  

@MastercardNews
 
@MastercardAP
 
@Mastercard
 
@Flipkart"
Apercus Tosh,@ApercusTosh,"Feb 28, 2018",,1,#Naspers CEO illuminates colonial #digital pitfall facing #India #Ecommerce #payments strategy needs to benefit local skill development w/ foreign investment. Lesson learned from #Snapdeal demise #Flipkart struggles & demonetization surge $BABA #Paytm https://m.economictimes.com/small-biz/startups/newsbuzz/india-should-never-be-a-digital-colony-like-europe-naspers-ceo-bob-van-dijk/amp_articleshow/63074511.cms?__twitter_impression=true…
Faisal Khan,@babushka99,"Feb 28, 2018",1,1,"Why e-tailers like #Amazon, #Flipkart, Grofers are flocking to #India's digital-payments platform — Quartz"
Smart Gizmo Deals ,@SmartGizmoDeals,"Feb 1, 2018",,,"Payday Offers - 10% Instant Discount on Cashless Payments
http://fkrt.it/4kLVlnuuuN

#Flipkart #Deals #Offers #OnlineDeals"
The Deals Mart,@thedealsmart,"Jan 22, 2018",,,"#Motorola Pulse 2 #Headset with Mic  (Black, Over the Ear)
?599, 62% off
15% #Cashback on payments through #PhonePe  #FlipkartRepublicSale #Flipkart 

http://fkrt.it/O68lkKNNNN"
The Deals Mart,@thedealsmart,"Jan 22, 2018",,,"#Smartron http://t.phone P (Black, 32 GB)  (3 GB RAM)
?7,999, #discount ?2501 
10% #Cashback on CitiBank Cards
15% #Cashback on payments through #PhonePe
#FlipkartRepublicSale #Flipkart #smartphones 

http://fkrt.it/OCX!8KNNNN"
The Deals Mart,@thedealsmart,"Jan 22, 2018",,,"Blaupunkt SP-212 #Bluetooth Home Audio #Speaker (Black, 2.1 Channel)
?2,249, 62% off
15% #Cashback on payments through #PhonePe
#FlipkartRepublicSale #Flipkart

http://fkrt.it/OpnzyKNNNN"
The Deals Mart,@thedealsmart,"Jan 22, 2018",,,"Black & Decker TS1000 Grill, Toast
?899, Flat 59% off
15% #Cashback on payments through #PhonePe
#FlipkartRepublicSale #Flipkart 

http://fkrt.it/OJ1b9KNNNN"
